epoch,train_loss
0,1013437.177500
1,677145.697500
2,605793.432500
3,581602.127500
4,577016.095000
5,574473.542500
6,571748.510000
7,560008.340000
8,545034.085000
9,539069.635000
10,534321.912500
11,530103.221250
12,526603.162500
13,524247.605000
14,522467.683750
15,521240.970000
16,519166.891250
17,518169.300000
18,517001.317500
19,516176.228750
20,514864.502500
21,514091.471250
22,513073.516250
23,512206.532500
24,511564.406250
25,511050.932500
26,510359.795000
27,509921.548750
28,509745.273750
29,508840.666250
30,508268.423750
31,507834.226250
32,507324.570000
33,507147.621250
34,507019.083750
35,508039.788750
36,507896.953750
37,506310.543750
38,505678.025000
39,505579.220000
40,504793.385000
41,504968.297500
42,505380.705000
43,506903.000000
44,507200.878750
45,504331.520000
46,503380.276250
47,503508.376250
48,503577.303750
49,503322.412500
50,502961.941250
51,502543.730000
52,502194.965000
53,502014.523750
54,502044.938750
55,501893.953750
56,501636.753750
57,501397.532500
58,501546.483750
59,501613.336250
60,501554.178750
61,501145.826250
62,500766.795000
63,500638.922500
64,500336.107500
65,500405.522500
66,500243.385000
67,500769.373750
68,500602.842500
69,500197.488750
70,500083.843750
71,499684.166250
72,499544.575000
73,500096.785000
74,499711.182500
75,498979.018750
76,498910.395000
77,499117.852500
78,499908.196250
79,501771.655000
80,504559.415000
81,501635.272500
82,498870.690000
83,498570.723750
84,498263.285000
85,498052.833750
86,497718.856250
87,497469.437500
88,497417.927500
89,497249.761250
90,497286.442500
91,497265.583750
92,497468.887500
93,497617.631250
94,497786.528750
95,497877.805000
96,497969.118750
97,498055.871250
98,497821.626250
99,497764.217500
100,497968.580000
101,498810.988750
102,499460.761250
103,499548.416250
104,498596.532500
105,498736.998750
106,500304.088750
107,502871.718750
108,504628.663750
109,501090.746250
110,498292.930000
111,496887.293750
112,496516.207500
113,496303.747500
114,496083.661250
115,495975.165000
116,496001.623750
117,495859.605000
118,495804.446250
119,495663.887500
120,495645.656250
121,495605.038750
122,495427.670000
123,495108.956250
124,495077.882500
125,495037.112500
126,494820.876250
127,494906.246250
128,494824.755000
129,494878.218750
130,494850.172500
131,494833.382500
132,494847.583750
133,494985.277500
134,494890.150000
135,494862.532500
136,494746.557500
137,494613.593750
138,494418.103750
139,494690.882500
140,494636.288750
141,494686.893750
142,495291.866250
143,497144.253750
144,500957.473750
145,504360.643750
146,499396.936250
147,496189.498750
148,494879.405000
149,494215.371250
150,494199.076250
151,494181.206250
152,494095.411250
153,494613.710000
154,495058.283750
155,495403.157500
156,495626.313750
157,495214.901250
158,494937.821250
159,494364.723750
160,494372.908750
161,494457.562500
162,494633.951250
163,494456.243750
164,494144.432500
165,494275.437500
166,494797.780000
167,496418.385000
168,498669.600000
169,495920.018750
170,494240.363750
171,493337.818750
172,493116.823750
173,493190.500000
174,493481.798750
175,493503.330000
176,493505.648750
177,493626.842500
178,493950.816250
179,494142.863750
180,494966.003750
181,495365.158750
182,495259.241250
183,494918.737500
184,494635.412500
185,494406.398750
186,494756.920000
187,495122.470000
188,495663.175000
189,496070.873750
190,496730.946250
191,497147.616250
192,496663.235000
193,495424.151250
194,493963.457500
195,493487.473750
196,493237.786250
197,493164.637500
198,493709.042500
199,494955.937500
200,496188.375000
201,499687.553750
202,503184.170000
203,503658.261250
204,499760.335000
205,495847.455000
206,494434.310000
207,493615.603750
208,493002.002500
209,492559.397500
210,492113.221250
211,491741.603750
212,491465.671250
213,491289.881250
214,491175.132500
215,491089.368750
216,490954.845000
217,490935.630000
218,490836.201250
219,490793.213750
220,490766.350000
