epoch,train_loss
0,2906.235607
1,2718.276389
2,2632.416149
3,2598.348289
4,2581.977251
5,2573.435847
6,2568.846436
7,2564.027277
8,2562.257413
9,2562.226119
10,2561.283003
11,2561.032515
12,2559.047252
13,2558.829457
14,2558.815407
15,2557.482255
16,2557.001986
17,2557.586304
18,2556.256115
19,2557.041326
20,2555.931052
21,2555.333496
22,2554.613536
23,2554.860807
24,2554.001498
25,2553.572132
26,2553.917436
27,2553.322554
28,2553.853771
29,2552.956410
30,2553.026689
31,2552.020796
32,2552.093728
33,2551.712203
34,2551.896606
35,2551.678522
36,2551.645719
37,2550.786754
38,2551.199097
39,2550.976773
40,2551.072177
41,2550.718606
42,2550.635332
43,2550.418157
44,2550.329457
45,2550.136242
46,2549.990068
47,2550.106534
48,2549.625999
49,2549.749390
50,2549.605890
51,2549.489069
52,2549.640581
53,2549.626598
54,2549.383412
55,2549.457364
56,2549.344682
57,2549.333352
58,2549.204989
59,2549.271751
60,2549.058228
61,2549.176303
62,2549.033314
63,2549.009544
64,2548.990245
65,2548.826427
66,2549.115434
67,2549.013006
68,2548.992165
69,2548.734741
70,2548.823120
71,2548.813732
72,2548.731667
73,2548.825772
74,2548.628773
75,2548.807229
76,2548.615567
77,2548.666238
78,2548.662165
79,2548.632690
80,2548.685103
81,2548.616266
82,2548.578092
83,2548.602739
84,2548.674039
85,2548.572021
86,2548.628851
87,2548.623657
88,2548.621183
89,2548.481689
90,2548.515625
91,2548.650346
92,2548.571966
93,2548.625366
94,2548.467896
95,2548.683017
96,2548.522006
97,2548.478205
98,2548.472645
99,2548.538463
100,2548.487482
101,2548.548007
102,2548.380460
103,2548.354437
104,2548.510531
105,2548.365956
106,2548.623946
107,2548.514471
108,2548.359075
109,2548.430265
110,2548.543213
111,2548.474776
112,2548.371859
113,2548.344194
114,2548.486317
115,2548.414229
116,2548.350808
117,2548.296087
118,2548.230813
119,2548.371282
120,2548.514149
121,2548.495051
122,2548.443648
123,2548.478837
124,2548.331776
125,2548.517933
126,2548.377819
127,2548.275724
128,2548.454157
129,2548.392401
130,2548.453558
131,2548.329912
132,2548.330555
133,2548.433871
134,2548.290017
135,2548.351873
136,2548.453635
137,2548.321211
138,2548.489402
139,2548.397350
140,2548.224665
141,2548.384277
142,2548.268987
143,2548.344438
144,2548.283181
145,2548.303189
146,2548.241832
147,2548.304621
148,2548.521529
149,2548.290461
150,2548.351318
151,2548.377364
152,2548.350331
153,2548.256581
154,2548.304011
155,2548.272261
156,2548.382113
157,2548.384089
158,2548.296875
159,2548.350963
160,2548.274225
161,2548.276400
162,2548.265281
163,2548.353493
164,2548.332231
165,2548.304233
166,2548.309504
167,2548.355513
168,2548.256536
169,2548.241866
170,2548.337036
171,2548.356179
172,2548.220759
173,2548.370916
174,2548.215798
175,2548.291804
176,2548.226929
177,2548.271285
178,2548.246970
179,2548.266524
180,2548.169334
181,2548.400879
182,2548.325062
183,2548.277965
184,2548.281849
185,2548.258401
186,2548.320257
187,2548.291859
188,2548.244363
189,2548.273671
190,2548.177779
191,2548.189542
192,2548.170665
193,2548.366344
194,2548.235407
195,2548.249889
196,2548.319258
197,2548.302646
198,2548.355324
199,2548.177257
200,2548.297341
201,2548.300304
202,2548.203180
203,2548.372381
204,2548.179066
205,2548.211559
206,2548.172241
207,2548.128718
